film_id,imdb_id,title,duration_minutes,year_released,genres,popularity,average_rating,production_cost,box_office_revenue,actor1,actor2,actor3,director,writer,production_company
42888,tt1341188,How Do You Know,121.0,2010,/co//dr//ro/,"5,458387",4.9,120000000.0,48668907,Reese Witherspoon,Paul Rudd,Owen Wilson,James L Brooks,James L Brooks,Columbia Pictures
43074,tt1289401,Ghostbusters,116.0,2016,/ac//co//fn/,"17,162744",5.3,144000000.0,229147509,Melissa McCarthy,Kristen Wiig,Kate McKinnon,Paul Feig,Katie Dippold,Columbia Pictures
47760,tt1498569,Restless,91.0,2011,/dr//ro/,"6,140556",6.3,8000000.0,163265,Mia Wasikowska,Henry Hopper,Ryo Kase,Gus Van Sant,Jason Lew,Columbia Pictures
50546,tt1564367,Just Go with It,117.0,2011,/co//ro/,"9,267959",6.3,80000000.0,214918407,Adam Sandler,Jennifer Aniston,Nicole Kidman,Dennis Dugan,Allan Loeb,Columbia Pictures
61891,tt1521197,Anonymous,130.0,2011,/dr//hi//th/,"13,413895",6.3,30000000.0,15395087,Jamie Campbell Bower,Rhys Ifans,David Thewlis,Roland Emmerich,John Orloff,Columbia Pictures
62206,tt1622547,30 Minutes or Less,83.0,2011,/ac//ad//co/,"9,763493",5.6,28000000.0,40547440,Jesse Eisenberg,Danny McBride,Aziz Ansari,Ruben Fleischer,Michael Diliberti,Columbia Pictures
64635,tt1386703,Total Recall,121.0,2012,/ac//ad//sc//th/,"16,42635",5.8,125000000.0,198802074,Colin Farrell,Kate Beckinsale,Jessica Biel,Len Wiseman,Philip K Dick,Columbia Pictures
64688,tt1232829,21 Jump Street,109.0,2012,/ac//co//cr/,"11,250764",6.7,42000000.0,201585328,Channing Tatum,Jonah Hill,Brie Larson,Phil Lord,Jonah Hill,Columbia Pictures
65754,tt1568346,The Girl with the Dragon Tattoo,158.0,2011,/cr//dr//my//th/,"8,907829",7.2,90000000.0,232617430,Daniel Craig,Rooney Mara,Christopher Plummer,David Fincher,Steven Zaillian,Columbia Pictures
68718,tt1853728,Django Unchained,165.0,2012,/dr//we/,"19,785025",7.8,100000000.0,425368238,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Quentin Tarantino,Quentin Tarantino,Columbia Pictures
71676,tt1071875,Ghost Rider: Spirit of Vengeance,95.0,2011,/ac//fn//th/,"9,421301",4.7,57000000.0,149217355,Nicolas Cage,Ciarán Hinds,Violante Placido,Brian Taylor,Roy Thomas,Columbia Pictures
72197,tt1430626,The Pirates! In an Adventure with Scientists!,88.0,2012,/ad//an//co//fm/,"10,271517",6.4,60000000.0,118338361,Hugh Grant,Brendan Gleeson,Jeremy Piven,Peter Lord,Gideon Defoe,Columbia Pictures
76492,tt0837562,Hotel Transylvania,91.0,2012,/an//co//fm//fn/,"16,231945",6.8,85000000.0,358375603,Adam Sandler,Steve Buscemi,David Spade,Genndy Tartakovsky,Dan Hageman,Columbia Pictures
77931,tt2017020,The Smurfs 2,105.0,2013,/an//co//fm//fn/,"10,640864",5.5,105000000.0,347434178,Hank Azaria,Neil Patrick Harris,Brendan Gleeson,Raja Gosnell,Karey Kirkpatrick,Columbia Pictures
82696,tt1535438,Hope Springs,100.0,2012,/co//dr//ro/,"7,255301",5.8,30000000.0,114281051,Meryl Streep,Steve Carell,Tommy Lee Jones,David Frankel,Vanessa Taylor,Columbia Pictures
97630,tt1790885,Zero Dark Thirty,157.0,2012,/dr//hi//th/,"9,649303",6.7,40000000.0,132820716,Jessica Chastain,Jason Clarke,Mark Strong,Kathryn Bigelow,Mark Boal,Columbia Pictures
102382,tt1872181,The Amazing Spider-Man 2,142.0,2014,/ac//ad//fn/,"26,23687",6.5,200000000.0,705717432,Andrew Garfield,Emma Stone,Jamie Foxx,Marc Webb,Alex Kurtzman,Columbia Pictures
109414,tt1245492,This Is the End,107.0,2013,/ac//co/,"11,414048",6.2,32000000.0,126041322,James Franco,Jonah Hill,Seth Rogen,Seth Rogen,Seth Rogen,Columbia Pictures
109424,tt1535109,Captain Phillips,134.0,2013,/ac//dr//th/,"13,776068",7.6,55000000.0,95000000,Tom Hanks,Catherine Keener,Max Martini,Paul Greengrass,Billy Ray,Columbia Pictures
109451,tt1985966,Cloudy with a Chance of Meatballs 2,95.0,2013,/an//co//fm/,"14,412061",6.4,78000000.0,248384621,Bill Hader,Anna Faris,James Caan,Cody Cameron,Phil Lord,Columbia Pictures
117251,tt2334879,White House Down,131.0,2013,/ac//dr//th/,"9,920223",6.3,150000000.0,205366737,Channing Tatum,Jamie Foxx,Joey King,Roland Emmerich,James Vanderbilt,Columbia Pictures
152760,tt2177771,The Monuments Men,118.0,2014,/ac//dr//hi//wa/,"11,132411",5.8,70000000.0,154984035,Matt Damon,Cate Blanchett,George Clooney,George Clooney,George Clooney,Columbia Pictures
156022,tt0455944,The Equalizer,132.0,2014,/ac//cr//th/,"17,618057",7.1,55000000.0,192330738,Denzel Washington,Marton Csokas,Chloë Grace Moretz,Antoine Fuqua,Richard Wenk,Columbia Pictures
159824,tt2510894,Hotel Transylvania 2,89.0,2015,/an//co//fm/,"11,760218",6.7,80000000.0,473226958,Adam Sandler,Andy Samberg,Selena Gomez,Genndy Tartakovsky,Dan Hageman,Columbia Pictures
168672,tt1800241,American Hustle,138.0,2013,/cr//dr/,"16,478036",6.8,40000000.0,251171807,Christian Bale,Bradley Cooper,Amy Adams,David O Russell,David O Russell,Columbia Pictures
187017,tt2294449,22 Jump Street,112.0,2014,/ac//co//cr/,"10,901496",7.0,50000000.0,188441614,Jonah Hill,Channing Tatum,Dave Franco,Phil Lord,Michael Bacall,Columbia Pictures
196867,tt1823664,Annie,119.0,2014,/co//dr//fm/,"13,275529",6.0,65000000.0,133821816,Quvenzhané Wallis,Jamie Foxx,Rose Byrne,Will Gluck,Aline Brosh McKenna,Columbia Pictures
198184,tt1823672,Chappie,120.0,2015,/ac//cr//sc/,"30,206365",6.6,49000000.0,104399548,Sharlto Copley,Dev Patel,Ninja,Neill Blomkamp,Neill Blomkamp,Columbia Pictures
206647,tt2379713,Spectre,148.0,2015,/ac//ad//cr/,"24,926577",6.3,245000000.0,880674609,Daniel Craig,Christoph Waltz,Léa Seydoux,Sam Mendes,John Logan,Columbia Pictures
207932,tt3062096,Inferno,121.0,2016,/th/,"18,311054",5.7,75000000.0,220021259,Tom Hanks,Felicity Jones,Omar Sy,Ron Howard,David Koepp,Columbia Pictures
223702,tt1700841,Sausage Party,83.0,2016,/ad//an//co//fn/,"17,56963",5.6,19000000.0,140705322,Seth Rogen,Kristen Wiig,Jonah Hill,Conrad Vernon,Seth Rogen,Columbia Pictures
228150,tt2713180,Fury,135.0,2014,/ac//dr//wa/,"36,713807",7.4,68000000.0,211817906,Brad Pitt,Shia LaBeouf,Logan Lerman,David Ayer,David Ayer,Columbia Pictures
228967,tt2788710,The Interview,112.0,2014,/ac//co/,"14,526049",6.1,44000000.0,12342632,James Franco,Seth Rogen,Lizzy Caplan,Seth Rogen,Seth Rogen,Columbia Pictures
256961,tt3450650,Paul Blart: Mall Cop 2,94.0,2015,/ac//co//fm/,"17,02038",5.0,38000000.0,107597242,Kevin James,Raini Rodriguez,Eduardo Verástegui,Andy Fickman,Kevin James,Columbia Pictures
257344,tt2120120,Pixels,105.0,2015,/ac//co//sc/,"21,14796",5.6,88000000.0,243637091,Adam Sandler,Michelle Monaghan,Peter Dinklage,Chris Columbus,Patrick Jean,Columbia Pictures
257445,tt1051904,Goosebumps,103.0,2015,/ad//co//ho/,"12,365292",6.2,58000000.0,158162788,Jack Black,Dylan Minnette,Odeya Rush,Rob Letterman,Scott Alexander,Columbia Pictures
267193,tt3381008,Grimsby,83.0,2016,/ac//co/,"13,912531",5.7,35000000.0,25182929,Sacha Baron Cohen,Mark Strong,Isla Fisher,Louis Leterrier,Sacha Baron Cohen,Columbia Pictures
274870,tt1355644,Passengers,116.0,2016,/ad//dr//ro//sc/,"20,303632",6.7,110000000.0,303144152,Jennifer Lawrence,Chris Pratt,Michael Sheen,Morten Tyldum,Jon Spaihts,Columbia Pictures
332567,tt4052882,The Shallows,86.0,2016,/dr//ho//th/,"13,689175",6.2,17000000.0,119100758,Blake Lively,Óscar Jaenada,Angelo Josue Lozano Corzo,Jaume Collet-Serra,Anthony Jaswinski,Columbia Pictures
82,tt0430357,Miami Vice,134.0,2006,/ac//ad//cr//th/,"11,72545",5.7,135000000.0,163794509,Jamie Foxx,Colin Farrell,Gong Li,Michael Mann,Michael Mann,Universal Pictures
1247,tt0343737,The Good Shepherd,167.0,2006,/dr//hi//th/,"11,057536",6.3,85000000.0,59908565,Matt Damon,Angelina Jolie,Alec Baldwin,Robert De Niro,Eric Roth,Universal Pictures
1735,tt0859163,The Mummy: Tomb of the Dragon Emperor,112.0,2008,/ac//ad//fn/,"14,250227",5.2,145000000.0,401128639,Brendan Fraser,Jet Li,John Hannah,Rob Cohen,Miles Millar,Universal Pictures
1819,tt0463034,You Me and Dupree,108.0,2006,/co//ro/,"8,570085",5.4,54000000.0,130431368,Kate Hudson,Owen Wilson,Matt Dillon,Anthony Russo,Michael LeSieur,Universal Pictures
2503,tt0440963,The Bourne Ultimatum,115.0,2007,/ac//dr//my//th/,"18,173269",7.3,70000000.0,442824138,Matt Damon,Julia Stiles,David Strathairn,Paul Greengrass,George Nolfi,Universal Pictures
3563,tt0762107,I Now Pronounce You Chuck & Larry,115.0,2007,/co//ro/,"6,645799",5.8,85000000.0,186072214,Adam Sandler,Kevin James,Jessica Biel,Dennis Dugan,Jim Taylor,Universal Pictures
4347,tt0783233,Atonement,123.0,2007,/dr//ro/,"8,913338",7.4,30000000.0,129266061,Keira Knightley,James McAvoy,Romola Garai,Joe Wright,Christopher Hampton,Universal Pictures
4349,tt0431197,The Kingdom,110.0,2007,/ac//dr//th/,"13,842333",6.5,70000000.0,86658558,Jamie Foxx,Jennifer Garner,Chris Cooper,Peter Berg,Matthew Michael Carnahan,Universal Pictures
4517,tt0414055,Elizabeth: The Golden Age,114.0,2007,/dr//hi//ro/,"7,608243",6.6,55000000.0,74237563,Cate Blanchett,Clive Owen,Geoffrey Rush,Shekhar Kapur,William Nicholson,Universal Pictures
4638,tt0425112,Hot Fuzz,121.0,2007,/ac//co//cr/,"13,535195",7.4,12000000.0,80573774,Simon Pegg,Nick Frost,Jim Broadbent,Edgar Wright,Edgar Wright,Universal Pictures
4723,tt0405336,Southland Tales,144.0,2006,/co//sc//th/,"6,242588",5.2,17000000.0,374743,Dwayne Johnson,Seann William Scott,Sarah Michelle Gellar,Richard Kelly,Richard Kelly,Universal Pictures
4942,tt0379865,Leatherheads,114.0,2008,/co//dr//ro/,"9,37102",5.7,58000000.0,41299492,George Clooney,Renée Zellweger,John Krasinski,George Clooney,Duncan Brantley,Universal Pictures
4964,tt0478311,Knocked Up,129.0,2007,/co//dr//ro/,"9,058516",6.2,30000000.0,219076518,Seth Rogen,Katherine Heigl,Leslie Mann,Judd Apatow,Judd Apatow,Universal Pictures
6538,tt0472062,Charlie Wilson's War,102.0,2007,/co//dr//hi/,"9,979162",6.5,75000000.0,119000410,Tom Hanks,Philip Seymour Hoffman,Julia Roberts,Mike Nichols,Aaron Sorkin,Universal Pictures
7516,tt0475394,Smokin' Aces,109.0,2006,/ac//co//cr//th/,"7,906434",6.4,17000000.0,57103895,Ryan Reynolds,Ray Liotta,Joseph Ruskin,Joe Carnahan,Joe Carnahan,Universal Pictures
8909,tt0493464,Wanted,110.0,2008,/ac//cr//th/,"12,457896",6.4,75000000.0,258270008,Angelina Jolie,James McAvoy,Morgan Freeman,Timur Bekmambetov,Michael Brandt,Universal Pictures
9310,tt0465142,American Dreamz,107.0,2006,/co//dr//fm/,"4,936369",4.9,17000000.0,7314027,Hugh Grant,Dennis Quaid,Mandy Moore,Paul Weitz,Paul Weitz,Universal Pictures
9615,tt0463985,The Fast and the Furious: Tokyo Drift,104.0,2006,/ac//cr//dr//th/,"2,238808",6.1,85000000.0,158468292,Lucas Black,Nathalie Kelley,Sung Kang,Justin Lin,Chris Morgan,Universal Pictures
9693,tt0206634,Children of Men,109.0,2006,/ac//dr//sc//th/,"14,114606",7.4,76000000.0,69959751,Clive Owen,Michael Caine,Julianne Moore,Alfonso Cuarón,Alfonso Cuarón,Universal Pictures
9767,tt0452594,The Break-Up,106.0,2006,/co//ro/,"6,327193",5.6,52000000.0,204999686,Vince Vaughn,Jennifer Aniston,Joey Lauren Adams,Peyton Reed,Vince Vaughn,Universal Pictures
9809,tt0454987,Let's Go to Prison,84.0,2006,/co//cr/,"3,856827",5.5,4000000.0,4630045,Dax Shepard,Will Arnett,Chi McBride,Bob Odenkirk,,Universal Pictures
